,A,B,Toss_Winner,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,runs in pp team a,runs in pp team b,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),Win ratio (Team A),Win ratio (Team B),Team A Ground,Team B Ground,winner
27,1,0,1,0.28500000000000014,0.9625000000000001,0.5454545454545454,0.5143540669856459,0.0,0.0,0.46666666666666673,0.5904761904761905,0.342,-0.192,0.5396246089676747,0.7090719499478624,0.0,0.0,0,0,1
28,4,9,0,0.28500000000000014,0.21750000000000003,0.7129186602870813,0.30980861244019137,0.0,0.0,0.34666666666666673,0.33333333333333337,-0.147,-1.16,0.5364963503649636,0.5396246089676747,0.0,0.0,1,0,0
29,2,11,1,0.48750000000000004,0.55,0.5610047846889952,0.5227272727272727,0.0,0.0,0.46666666666666673,0.4761904761904762,-0.467,0.632,0.6235662148070907,0.9562043795620438,0.0,0.0,0,1,1
30,0,6,1,0.9625000000000001,0.9550000000000003,0.5143540669856459,0.4832535885167464,0.0,0.0,0.28,0.37142857142857144,-0.192,0.509,0.7090719499478624,0.7580813347236706,0.0,0.0,1,0,0
31,4,2,0,0.28500000000000014,0.48750000000000004,0.7129186602870813,0.5610047846889952,0.0,0.0,0.5066666666666666,0.33333333333333337,-0.147,-0.467,0.5364963503649636,0.6235662148070907,0.0,0.0,0,0,0
32,1,11,1,0.28500000000000014,0.55,0.5454545454545454,0.5227272727272727,0.0,0.0,0.37333333333333335,0.5238095238095238,0.342,0.632,0.5396246089676747,0.9562043795620438,0.0,0.0,0,1,1
33,9,6,0,0.21750000000000003,0.9550000000000003,0.30980861244019137,0.4832535885167464,0.0,0.0,0.4266666666666667,0.2,-1.16,0.509,0.5396246089676747,0.7580813347236706,0.0,0.0,0,0,1
34,4,1,0,0.28500000000000014,0.28500000000000014,0.7129186602870813,0.5454545454545454,0.0,0.0,0.46666666666666673,0.4,-0.147,0.342,0.5364963503649636,0.5396246089676747,0.0,0.0,1,0,0
35,0,7,1,0.9625000000000001,0.3350000000000002,0.5143540669856459,0.9999999999999999,0.0,0.0,0.26666666666666666,0.3523809523809524,-0.192,0.57,0.7090719499478624,0.7549530761209593,0.0,0.0,0,1,1
36,1,2,1,0.28500000000000014,0.48750000000000004,0.5454545454545454,0.5610047846889952,0.0,0.0,0.17333333333333334,0.7428571428571429,0.342,-0.467,0.5396246089676747,0.6235662148070907,0.0,0.0,0,0,0
37,4,7,1,0.28500000000000014,0.3350000000000002,0.7129186602870813,0.9999999999999999,0.0,0.0,0.48000000000000004,0.36190476190476195,-0.147,0.57,0.5364963503649636,0.7549530761209593,0.0,0.0,0,1,1
38,1,6,0,0.28500000000000014,0.9550000000000003,0.5454545454545454,0.4832535885167464,0.0,0.0,0.44,0.6761904761904762,0.342,0.509,0.5396246089676747,0.7580813347236706,0.0,0.0,0,0,1
39,11,9,1,0.55,0.21750000000000003,0.5227272727272727,0.30980861244019137,0.0,0.0,0.16000000000000003,0.6476190476190476,0.632,-1.16,0.9562043795620438,0.5396246089676747,0.0,0.0,1,0,0
40,7,2,1,0.3350000000000002,0.48750000000000004,0.9999999999999999,0.5610047846889952,0.0,0.0,0.7066666666666668,0.6952380952380953,0.57,-0.467,0.7549530761209593,0.6235662148070907,0.0,0.0,0,0,0
41,4,0,0,0.28500000000000014,0.9625000000000001,0.7129186602870813,0.5143540669856459,0.0,0.0,0.48000000000000004,0.21904761904761907,-0.147,-0.192,0.5364963503649636,0.7090719499478624,0.0,0.0,1,0,1
42,9,1,1,0.21750000000000003,0.28500000000000014,0.30980861244019137,0.5454545454545454,0.0,0.0,0.56,0.3047619047619048,-1.16,0.342,0.5396246089676747,0.5396246089676747,0.0,0.0,1,0,1
43,4,11,1,0.28500000000000014,0.55,0.7129186602870813,0.5227272727272727,0.0,0.0,0.26666666666666666,0.40952380952380957,-0.147,0.632,0.5364963503649636,0.9562043795620438,0.0,0.0,1,0,1
44,6,7,1,0.9550000000000003,0.3350000000000002,0.4832535885167464,0.9999999999999999,0.0,0.0,0.34666666666666673,0.6761904761904762,0.509,0.57,0.7580813347236706,0.7549530761209593,0.0,0.0,0,1,0
