team A,team B,Toss_Winner,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,runs in pp team a,runs in pp team b,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),Win ratio (Team A),Win ratio (Team B),Team A Ground,Team B Ground,winner,id,result,toss_decision,dl_applied,win_by_runs,win_by_wickets,player_of_match,umpire1,umpire2,umpire3,venue
KKR,RPS,RPS,623,477,560,707,0.550724638,0,41,74,0.642,0.176,691,0,1,0,home,away,RPS,40,normal,field,0,0,4,RA Tripathi,KN Ananthapadmanabhan,A Nand Kishore,,Eden Gardens
GL,DC,DC,650,623,518,452,0.75,0.4375,58,63,-0.412,-0.512,481,464,0.5,0.5,away,away,DC,41,normal,field,0,0,7,RR Pant,M Erasmus,Nitin Menon,,Feroz Shah Kotla
KXIP,RCB,RCB,637,477,580,852,0.40625,0.540983607,35,46,-0.009,-1.299,618.5,464,0.56,0.44,away,home,KXIP,42,normal,field,0,19,0,Sandeep Sharma,CB Gaffaney,C ShamshuDCin,,M Chinnaswamy Stadium
RPS,SRH,SRH,477,765,707,682,0,0.466666667,35,47,0.176,0.599,0,688,0.5,0.5,away,home,RPS,43,normal,field,0,12,0,JD Unadkat,KN Ananthapadmanabhan,AK Chaudhary,,"Rajiv Gandhi International Stadium, Uppal"
MI,DC,DC,697,623,644,452,0.554054054,0.4375,60,35,0.784,-0.512,592.5,464,0.5,0.5,away,away,MI,44,normal,field,0,146,0,LMP Simmons,Nitin Menon,CK Nandan,,Feroz Shah Kotla
RCB,KKR,KKR,477,623,852,560,0.540983607,0.550724638,40,105,-1.299,0.642,464,691,0.5,0.5,home,away,KKR,45,normal,field,0,0,6,SP Narine,AY Dandekar,C ShamshuDCin,,M Chinnaswamy Stadium
KXIP,GL,GL,637,650,580,518,0.40625,0.75,44,58,-0.009,-0.412,618.5,481,0.5,0.5,away,away,GL,46,normal,field,0,0,6,DR Smith,A Nand Kishore,VK Sharma,,"Punjab Cricket Association IS Bindra Stadium, Mohali"
MI,SRH,MI,697,765,644,682,0.554054054,0.466666667,36,43,0.784,0.599,592.5,688,0.5,0.5,away,home,SRH,47,normal,bat,0,0,7,S Dhawan,KN Ananthapadmanabhan,M Erasmus,,"Rajiv Gandhi International Stadium, Uppal"
KXIP,KKR,KKR,637,623,580,560,0.40625,0.550724638,41,61,-0.009,0.642,618.5,691,0.32,0.68,away,away,KXIP,48,normal,field,0,14,0,MM Sharma,A Nand Kishore,S Ravi,,"Punjab Cricket Association IS Bindra Stadium, Mohali"
GL,DC,DC,650,623,518,452,0.75,0.4375,50,64,-0.412,-0.512,481,464,0.5,0.5,away,away,DC,49,normal,field,0,0,2,SS Iyer,YC Barde,AK Chaudhary,,Green Park
KXIP,MI,MI,637,697,580,644,0.40625,0.554054054,71,68,-0.009,0.784,618.5,592.5,0.5,0.5,away,home,KXIP,50,normal,field,0,7,0,WP Saha,A Deshmukh,A Nand Kishore,,Wankhede Stadium
