team A,team B,Toss_Winner,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,runs in pp team a,runs in pp team b,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),Win ratio (Team A),Win ratio (Team B),Team A Ground,Team B Ground,winner,id,result,toss_decision,dl_applied,win_by_runs,win_by_wickets,player_of_match,umpire1,umpire2,umpire3,venue
RPS,GL,GL,764,513,719,500,0,0,48,72,0.015,-0.374,486.5,630.5,0,0,away,away,GL,601,normal,field,0,0,3,DR Smith,CB Gaffaney,BNJ Oxenford,,Maharashtra Cricket Association Stadium
DC,KKR,KKR,610,610,580,833,0.410714286,0.53968254,37,43,-0.155,0.106,959,559,0.4,0.6,away,away,DC,602,normal,field,0,27,0,CR Brathwaite,KN Ananthapadmanabhan,M Erasmus,,Feroz Shah Kotla
SRH,RCB,RCB,603,613,650,692,0.35,0.527272727,49,45,0.245,0.932,825.5,959,0.5,0.5,home,away,SRH,603,normal,field,0,15,0,DA Warner,AK Chaudhary,HDPK Dharmasena,,"Rajiv Gandhi International Stadium, Uppal"
KXIP,GL,GL,662,513,563,500,0.448275862,0,59,36,-0.646,-0.374,364,630.5,0,0,away,away,KXIP,604,normal,field,0,23,0,AR Patel,BNJ Oxenford,VK Sharma,,Saurashtra Cricket Association Stadium
RPS,MI,MI,764,659,719,393,0,0.553846154,54,47,0.015,-0.146,486.5,566,0,0,away,away,MI,605,normal,field,0,0,8,RG Sharma,AY Dandekar,RJ Tucker,,Maharashtra Cricket Association Stadium
RCB,KKR,KKR,613,610,692,833,0.527272727,0.53968254,40,37,0.932,0.106,959,559,0.5,0.5,home,away,KKR,606,normal,field,0,0,5,AD Russell,M Erasmus,S Ravi,,M Chinnaswamy Stadium
GL,DC,DC,513,610,500,580,0,0.410714286,35,61,-0.374,-0.155,630.5,959,0,0,away,away,DC,607,normal,field,0,0,8,RR Pant,CB Gaffaney,BNJ Oxenford,,Saurashtra Cricket Association Stadium
KKR,KXIP,KXIP,610,662,833,563,0.53968254,0.448275862,40,37,0.106,-0.646,559,364,0.56,0.35,home,away,KKR,608,normal,field,0,7,0,AD Russell,AK Chaudhary,HDPK Dharmasena,,Eden Gardens
DC,RPS,RPS,610,764,580,719,0.410714286,0,48,50,-0.155,0.015,959,486.5,0,0,away,away,RPS,609,normal,field,0,0,7,AM Rahane,C ShamshuDCin,RJ Tucker,,Feroz Shah Kotla
GL,SRH,SRH,513,603,500,650,0,0.35,26,38,-0.374,0.245,630.5,825.5,0,0,away,home,SRH,610,normal,field,0,0,5,B Kumar,M Erasmus,S Ravi,,"Rajiv Gandhi International Stadium, Uppal"
